PMC,PMCtitle,PMCabstract,Query_Protein,Query_Drug,ProteinNames,DrugNames,FuzzyMatchProtein,FuzzyMatchDrug,ExactMatchProtein,ExactMatchDrug,DrugMatch,CID,chain_of_thought_reasoning,drug,protein,effect,targeted_sentences,interaction_type,context
PMC10900626,Dynamic changes of rumen microbiota and serum metabolome revealed increases in meat quality and growth performances of sheep fed bio-fermented rice straw.,"Providing high-quality roughage is crucial for improvement of ruminant production because it is an essential component of their feed. Our previous study showed that feeding bio-fermented rice straw (BF) improved the feed intake and weight gain of sheep. However, it remains unclear why feeding BF to sheep increased their feed intake and weight gain. Therefore, the purposes of this research were to investigate how the rumen microbiota and serum metabolome are dynamically changing after feeding BF, as well as how their changes influence the feed intake, digestibility, nutrient transport, meat quality and growth performances of sheep. Twelve growing Hu sheep were allocated into 3 groups: alfalfa hay fed group (AH: positive control), rice straw fed group (RS: negative control) and BF fed group (BF: treatment). Samples of rumen content, blood, rumen epithelium, muscle, feed offered and refusals were collected for the subsequent analysis.",P20248,PCA,['Cyclin A'],['PCA'],[],[],['Cyclin A'],['PCA'],,135403803,"The document discusses the effects of feeding bio-fermented rice straw (BF) on various parameters in sheep, including the expression of certain genes. The protein Cyclin A2 is mentioned in the context of gene expression related to cell proliferation in the rumen epithelium. The document states that feeding BF up-regulates the expression of Cyclin A2. This indicates a positive effect of the treatment (BF) on the expression of Cyclin A2. The context is related to improving the growth performance and meat quality of sheep by altering their diet to include bio-fermented rice straw.",Bio-fermented rice straw (BF),Cyclin A2,Feeding bio-fermented rice straw (BF) up-regulates the expression of Cyclin A2 in the rumen epithelium of sheep.,"['The results of real-time PCR showed that up-regulation (P < 0.05) of tight junction protein-related genes such as claudin-1 and claudin-4, cell proliferation related genes such as CDK4, Cyclin A2 and Cyclin E1, and VFA transporter-related gene such as MCT1, and down-regulation (P < 0.05) of apoptosis related genes such as caspase-8 and Bad, and pH regulation-related gene such as NHE3 and Na+/K+ ATPase were observed in BF group compared with RS group.']",Upregulation,Improving the growth performance and meat quality of sheep by altering their diet to include bio-fermented rice straw.
PMC10923034,"Treatment patterns and clinical outcomes of chidamide combined with endocrine therapy in hormone receptor-positive, HER2-negative metastatic breast cancer: A real-world multicenter study.","Chidamide is a selective histone deacetylase inhibitor approved for patients with hormone receptor (HoR)-positive and HER2-negative metastatic breast cancer (MBC). We aimed to investigate the efficacy, safety, and treatment patterns of chidamide and identify clinicopathological factors that predict the efficacy of chidamide in real-world scenarios.",P00533,XA,"['Epidermal growth factor receptor', 'ERBB', 'epidermal growth factor receptor']",['XA'],[],[],"['Epidermal growth factor receptor', 'ERBB', 'epidermal growth factor receptor']",['XA'],,135403800,"The document discusses the effects of chidamide, a selective histone deacetylase inhibitor, on hormone receptor-positive, HER2-negative metastatic breast cancer. Chidamide is known to induce cell cycle arrest and apoptosis in tumor cells through epigenetic regulation. The document specifically mentions that chidamide impacts ER downstream transcription factors and triggers parallel pathways independent of estrogen/ER that promote tumor growth, which is implicated with endocrine resistance. This suggests that chidamide has a downregulating effect on the estrogen receptor (ER) pathway, which is a protein complex involved in breast cancer progression.",Chidamide,Estrogen Receptor (ER),"Chidamide impacts ER downstream transcription factors and triggers parallel pathways independent of estrogen/ER that promote tumor growth, which is implicated with endocrine resistance.","['Epigenetic reprogramming impacts ER downstream transcription factors, triggers parallel pathways independent of estrogen/ER that promote tumor growth, and is implicated with endocrine resistance.']",Downregulation,"Hormone receptor-positive, HER2-negative metastatic breast cancer treatment"
PMC10959701,"Laminin 511-E8, an autoantigen in IgG4-related cholangitis, contributes to cholangiocyte protection.","IgG4-related cholangitis (IRC) is the hepatobiliary manifestation of IgG4-related disease. Anti-laminin 511-E8 autoantibodies have been identified in its pancreatic manifestation. Laminin 511-E8 promotes endothelial barrier function, lymphocyte recruitment, and cholangiocyte differentiation. Here, we investigate anti-laminin 511-E8 autoantibody presence in IRC, and mechanisms via which laminin 511 may contribute to cholangiocyte protection.",P11047,PCA,"['LAMC1', 'Laminin', 'gamma 1']",['PCA'],['Laminin'],[],"['LAMC1', 'Laminin', 'gamma 1']",['PCA'],,135403803,"The document discusses the role of laminin 511-E8 in protecting cholangiocytes in the context of IgG4-related cholangitis (IRC). It mentions that recombinant laminin 511-E8 treatment leads to differential expression of genes involved in secretion, barrier function, and inflammation. Specifically, it states that knockdown of laminin 511 constituents increases toxic bile acid permeation and GCDC-induced apoptosis, while laminin 511-E8 treatment decreases toxic bile acid permeation and dose-dependently alleviates GCDC-induced apoptosis. This indicates that laminin 511-E8 has a protective effect on cholangiocytes by enhancing barrier function and reducing apoptosis induced by toxic bile acids. The targeted sentences clearly describe these effects, and the context is IgG4-related cholangitis.",Laminin 511-E8,Laminin subunit gamma-1 (LAMC1),"Laminin 511-E8 treatment decreases toxic bile acid permeation and dose-dependently alleviates GCDC-induced apoptosis, enhancing cholangiocellular barrier function and protecting against T lymphocyte-induced barrier dysfunction.","['Recombinant laminin 511-E8 led to differential expression of genes involved in secretion, barrier function, and inflammation.', 'Knockdown of laminin 511 constituents increased toxic bile acid permeation and GCDC-induced apoptosis.', 'Laminin 511-E8 treatment decreased toxic bile acid permeation and dose-dependently alleviated GCDC-induced apoptosis.', 'Laminin 511-E8 treatment reduced transepithelial permeability and prevented T lymphocyte-induced barrier dysfunction.']",Upregulation,IgG4-related cholangitis (IRC)
PMC10997670,Proteomic analysis of DEN and CCl,"Hepatocellular carcinoma (HCC) seriously threatens human health, mostly developed from liver fibrosis or cirrhosis. Since diethylnitrosamine (DEN) and carbon tetrachloride (CCl",Q15796,PCA,"['Smad2', 'Mothers against decapentaplegic homolog 2', 'SMAD2']",['PCA'],[],[],"['Smad2', 'Mothers against decapentaplegic homolog 2', 'SMAD2']",['PCA'],,135403803,"The document discusses the proteomic analysis of a DEN and CCl4-induced hepatocellular carcinoma (HCC) mouse model. It highlights the identification of differentially expressed proteins (DEPs) in tumor tissues compared to normal liver tissues. Among the DEPs, SMAD2 is mentioned as one of the proteins with prognostic significance. The document provides evidence that SMAD2 is significantly highly expressed in tumor tissues of DEN and CCl4-induced HCC mice, as well as in human HCC patients, indicating an upregulation of SMAD2 in the context of HCC. The targeted sentences from the document that support this extraction are provided below. The context of the health-care scenario is hepatocellular carcinoma (HCC).",Diethylnitrosamine (DEN) and Carbon tetrachloride (CCl4),SMAD2,"SMAD2 is significantly highly expressed in tumor tissues of DEN and CCl4-induced HCC mice, as well as in human HCC patients, indicating an upregulation of SMAD2.","['Finally, seven proteins from the above 30 proteins were screened for differential expression in non-tumor and tumor tissues of HCC clinical samples by |log2 (fold change) |≥\u20091 and the BH-adjusted P value\u2009<\u20090.05, Mothers against decapentaplegic homolog 2 (SMAD2), tyrosine-protein phosphatase non-receptor type 1 (PTPN1), Proliferating cell nuclear antigen (PCNA), monofunctional C1-tetrahydrofolate synthase, mitochondrial (MTHFD1L), Lysophospholipid acyltransferase 7(MBOAT7), Fatty acid-binding protein 5 (FABP5) and Agrin (AGRN) (Supplementary Fig. 6 ).', 'These seven proteins were significantly highly expressed in tumor tissues of DEN and CCl4-induced HCC mice (Supplementary Fig. 6 A–G).', 'Consistently, these seven proteins were highly expressed in tumor tissues of HCC patients compared to non-tumor tissues (Supplementary Fig. 6 H–N).']",Upregulation,Hepatocellular carcinoma (HCC)
PMC10998944,Apoptosis Induction by New Coumarin Derivatives in a Mice Model of Breast Cancer.,"In the last decades, numerous studies have focused on the search for new agents to suppress the growth of cancer cells. In this study, we investigated the effect of two novel synthetic coumarin derivatives, namely",P00533,XA,"['P53', 'p53', 'COX-2', 'EGFR', 'Genes']",['XA'],['COX-2'],[],"['P53', 'p53', 'COX-2', 'EGFR', 'Genes']",['XA'],,135403800,"The document discusses the effects of two novel synthetic coumarin derivatives on breast cancer in a mouse model. The study specifically investigates the impact of these compounds on the expression levels of several apoptotic markers, including BCL-2, caspase-9, COX-2, and c-Myc. The qRT-PCR results indicate that both coumarin compounds significantly alter the expression levels of these proteins. The targeted sentences from the document provide clear evidence of these changes. Based on the information provided, the interaction type between the coumarin derivatives and the proteins can be classified as either 'Upregulation' or 'Downregulation'. The context of the health-care scenario is breast cancer treatment.","2-amino-4-(4-(2-hydroxyethoxy)-3-methoxyphenyl)-5-oxo-4H,5H-pyrano[3,2-c]coumarin-3-carbonitrile",caspase-9,The expression of caspase-9 was increased by the coumarin derivative.,"['The expression of caspase-9 was increased by coumarin derivatives and doxorubicin in all treated groups.', 'The expression levels of caspase-9 were increased in all treated groups compared to the cancer control group, particularly in the A2 and B2 (P <0.05) groups.']",Upregulation,Breast cancer treatment
PMC11001995,Dermal injury drives a skin to gut axis that disrupts the intestinal microbiome and intestinal immune homeostasis in mice.,"The composition of the microbial community in the intestine may influence the functions of distant organs such as the brain, lung, and skin. These microbes can promote disease or have beneficial functions, leading to the hypothesis that microbes in the gut explain the co-occurrence of intestinal and skin diseases. Here, we show that the reverse can occur, and that skin directly alters the gut microbiome. Disruption of the dermis by skin wounding or the digestion of dermal hyaluronan results in increased expression in the colon of the host defense genes Reg3 and Muc2, and skin wounding changes the composition and behavior of intestinal bacteria. Enhanced expression Reg3 and Muc2 is induced in vitro by exposure to hyaluronan released by these skin interventions. The change in the colon microbiome after skin wounding is functionally important as these bacteria penetrate the intestinal epithelium and enhance colitis from dextran sodium sulfate (DSS) as seen by the ability to rescue skin associated DSS colitis with oral antibiotics, in germ-free mice, and fecal microbiome transplantation to unwounded mice from mice with skin wounds. These observations provide direct evidence of a skin-gut axis by demonstrating that damage to the skin disrupts homeostasis in intestinal host defense and alters the gut microbiome.",Q16539,PCA,['RK'],['PCA'],[],[],['RK'],['PCA'],,135403803,"The document discusses the effects of skin wounding and the expression of hyaluronidase-1 (HYAL1) on the gut microbiome and intestinal immune homeostasis. The study shows that skin wounding or the expression of HYAL1 in the skin leads to increased expression of the host defense genes Reg3 and Muc2 in the colon. This is evidenced by single-cell RNA sequencing and spatial RNA sequencing data. The document does not explicitly mention the drug Pterin-6-carboxylic acid or its synonyms, nor does it mention the protein MAPK14 or its synonyms. Therefore, no direct relation between the drug and the protein can be extracted from this document.",Pterin-6-carboxylic acid,MAPK14,No direct relation between the drug and the protein can be extracted from this document.,[],Neutral,"The document discusses the effects of skin wounding and the expression of hyaluronidase-1 (HYAL1) on the gut microbiome and intestinal immune homeostasis, but does not mention the drug Pterin-6-carboxylic acid or the protein MAPK14."
PMC11021867,Multivariate modular metabolic engineering and medium optimization for vitamin B,Vitamin B,P00533,XA,['Genes'],"['Yeast powder', 'XA']",[],[],['Genes'],"['Yeast powder', 'XA']",,135403800,"The document discusses the use of yeast powder in the fermentation medium to enhance vitamin B12 production in Escherichia coli. Yeast powder is identified as a drug synonym. The document mentions that the inclusion of yeast powder increased the vitamin B12 titer and enhanced the strain's tolerance to IPTG. This suggests that yeast powder has a positive effect on the metabolic processes in E. coli, which could be linked to protein expression. However, there is no direct mention of a specific protein such as EGFR or its synonyms in the context of yeast powder's effect. Therefore, the interaction type is classified as 'Neutral' due to the lack of direct evidence linking yeast powder to the upregulation or downregulation of a specific protein. The context is the optimization of fermentation conditions for vitamin B12 production in E. coli.",Yeast powder,N/A,Yeast powder increased the vitamin B12 titer and enhanced the strain's tolerance to IPTG.,"['The inclusion of yeast powder to the fermentation medium increased the vitamin B12 titer to 1.52 mg/L.', ""This enhancement was attributed to the effect of yeast powder on elevating the oxygen transfer rate and augmenting the strain's isopropyl-β-d-1-thiogalactopyranoside (IPTG) tolerance.""]",Neutral,Optimization of fermentation conditions for vitamin B12 production in Escherichia coli.
PMC11036016,"Design, synthesis, biological and computational screening of novel pyridine-based thiadiazole derivatives as prospective anti-inflammatory agents.","In this study, a novel series of pyridine-based thiadiazole derivatives (",P35354,XA,"['Cyclooxygenase-2', 'COX-2']",['XA'],['COX-2'],[],"['Cyclooxygenase-2', 'COX-2']",['XA'],,135403800,"The document discusses the synthesis and evaluation of novel pyridine-based thiadiazole derivatives (NTD1-NTD5) as potential anti-inflammatory agents. Among these, NTD3, featuring benzoic acid substitution, emerged as the most potent anti-inflammatory agent. The study includes in vivo testing, in silico docking studies, and molecular dynamics simulations to assess the interaction of these compounds with the COX-2 protein. The results indicate that NTD3 exhibits strong binding affinity and stability with COX-2, suggesting its potential as a COX-2 inhibitor. This implies that NTD3 downregulates the activity of COX-2, which is a key protein involved in the inflammatory process. The targeted sentences from the document provide evidence of this interaction and its context in the development of anti-inflammatory therapeutics.",NTD3,Cyclooxygenase-2 (COX-2),"NTD3 exhibits strong binding affinity and stability with COX-2, suggesting its potential as a COX-2 inhibitor.","['Notably, NTD3, which featured benzoic acid substitution, emerged as the most potent anti-inflammatory agent among the screened compounds.', 'To further validate these findings, an in silico docking study was carried out against COX-2 bound to diclofenac (PDB ID: 1pxx).', 'The computational analysis demonstrated that NTD2, and NTD3, exhibited substantial binding affinity, with the lowest binding energies (−8.5 and −8.4, kcal/mol) compared to diclofenac (−8.4 kcal/mol).', 'Moreover, molecular dynamics simulations were conducted, extending over 100 ns, to examine the dynamic interactions between the ligands and the target protein.', ""The results solidified NTD3's position as a leading candidate, showing potent inhibitory activity through strong and sustained interactions, including stable hydrogen bond formations."", ""This was further confirmed by RMSD values of 2-2.5 Å and 2-3Ǻ, reinforcing NTD3's potential as a useful anti-inflammatory agent.""]",Downregulation,Development of novel anti-inflammatory therapeutics
PMC11048093,Postnatal Growth and Development of the Rumen: Integrating Physiological and Molecular Insights.,"The rumen plays an essential role in the physiology and production of agriculturally important ruminants such as cattle. Functions of the rumen include fermentation, absorption, metabolism, and protection. Cattle are, however, not born with a functional rumen, and the rumen undergoes considerable changes in size, histology, physiology, and transcriptome from birth to adulthood. In this review, we discuss these changes in detail, the factors that affect these changes, and the potential molecular and cellular mechanisms that mediate these changes. The introduction of solid feed to the rumen is essential for rumen growth and functional development in post-weaning calves. Increasing evidence suggests that solid feed stimulates rumen growth and functional development through butyric acid and other volatile fatty acids (VFAs) produced by microbial fermentation of feed in the rumen and that VFAs stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I) or through direct actions on energy production, chromatin modification, and gene expression. Given the role of the rumen in ruminant physiology and performance, it is important to further study the cellular, molecular, genomic, and epigenomic mechanisms that control rumen growth and development in postnatal ruminants. A better understanding of these mechanisms could lead to the development of novel strategies to enhance the growth and development of the rumen and thereby the productivity and health of cattle and other agriculturally important ruminants.",P05019,PCA,"['Insulin-like growth factor I', 'IGF-I', 'IGF', 'IGF1']",['PCA'],[],[],"['Insulin-like growth factor I', 'IGF-I', 'IGF', 'IGF1']",['PCA'],,135403803,"The document discusses the role of volatile fatty acids (VFAs), particularly butyric acid, in the development of the rumen in postnatal ruminants. It mentions that butyric acid stimulates rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I). The document provides evidence that butyric acid increases the concentration and/or action of circulating IGF-I, which in turn stimulates cell proliferation and metabolism in rumen epithelial cells. This indicates an upregulation of IGF-I by butyric acid. The context of this relation is the development and functional maturation of the rumen in postnatal ruminants, which is crucial for their physiology and production.",Butyric acid,Insulin-like growth factor I (IGF-I),"Butyric acid increases the concentration and/or action of circulating IGF-I, which stimulates cell proliferation and metabolism in rumen epithelial cells.","['Increasing evidence suggests that solid feed stimulates rumen growth and functional development through butyric acid and other volatile fatty acids (VFAs) produced by microbial fermentation of feed in the rumen and that VFAs stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I) or through direct actions on energy production, chromatin modification, and gene expression.', 'Butyric acid and other VFAs stimulate rumen growth and functional development through both direct and indirect mechanisms. In direct mechanisms, butyric acid and other VFAs stimulate cell proliferation and metabolism in rumen epithelial cells by altering the expression of genes critical for these processes. In indirect mechanisms, butyric acid and other VFAs stimulate cell proliferation, and metabolism by increasing the concentration and/or action of circulating insulin-like growth factor-I (IGF-I), insulin, and perhaps other hormones and growth factors on the rumen.']",Upregulation,Development and functional maturation of the rumen in postnatal ruminants.
PMC11050415,Anti-Atherosclerotic Properties of,The high content of bioactive compounds in,P05362,PCA,"['ICAM1', 'intercellular adhesion molecule 1', 'ICAM-1', 'Intercellular adhesion molecule 1']",['PCA'],[],[],"['ICAM1', 'intercellular adhesion molecule 1', 'ICAM-1', 'Intercellular adhesion molecule 1']",['PCA'],,135403803,"The document discusses the anti-atherosclerotic properties of Aronia melanocarpa extracts and their effects on various proteins, including ICAM-1. The extracts were tested on human umbilical vein endothelial cells (HUVECs) to measure their impact on the expression of ICAM-1. The results showed that the extracts, particularly those rich in chlorogenic acids and anthocyanins, significantly suppressed the surface expression of TNF-α-stimulated ICAM-1. This indicates a downregulation effect of the extracts on ICAM-1. The context of the health-care scenario is the prevention and treatment of atherosclerosis, as the suppression of ICAM-1 expression can help reduce inflammation and leukocyte adhesion, which are critical processes in the onset of atherosclerosis.",Aronia melanocarpa extracts,ICAM-1,The extracts significantly suppressed the surface expression of TNF-α-stimulated ICAM-1 in human umbilical vein endothelial cells (HUVECs).,"['As inflammation and cell adhesion molecules located on endothelial cells cause leucocyte adhesion to the endothelium, we investigated the effects of A. melanocarpa fruit extracts on TNF-α induced ICAM-1 and VCAM-1 expression by human umbilical vein endothelial cells (HUVECs).', 'Flow cytometry results showed that all Aronia berry extracts collected from May to October from both farms inhibit TNF-α stimulated ICAM-1 and VCAM-1 molecules.', 'Extracts containing mainly chlorogenic acid, i.e., without anthocyanins (no 1.1 and 1.2), suppressed the surface expression of the TNF-α-stimulated ICAM-1 by 1.31-fold and 1.27-fold, respectively.', 'However, as the content of anthocyanins in berry extracts increases, its anti-inflammatory effect also increases.', 'These extracts decreased TNF-α-stimulated ICAM-1 surface expression by 1.4-fold (Figure 2a, 1.3;1.4).']",Downregulation,Prevention and treatment of atherosclerosis
