PMC,PMCtitle,PMCabstract,Query_Protein,Query_Drug,ProteinNames,DrugNames,FuzzyMatchProtein,FuzzyMatchDrug,ExactMatchProtein,ExactMatchDrug,DrugMatch,CID,chain_of_thought_reasoning,drug,protein,effect,targeted_sentences,interaction_type,context,expt_type,expt_weight
PMC10767420,Genotypic variants of the tetrahydrobiopterin (BH4) biosynthesis genes in patients with hyperphenylalaninemia from different regions of Iran.,"Hyperphenylalaninemia (HPA) is a metabolic disorder classified into phenylalanine-4-hydroxylase (PAH) and non-PAH deficiency. The latter is produced by mutations in genes involved in the tetrahydrobiopterin (BH4) biosynthesis pathway and DNAJC12 pathogenetic variants. The BH4 metabolism, including de novo biosynthesis involved genes (i.e., guanosine 5'-triphosphate cyclohydrolase I (GTPCH/GCH1), sepiapterin reductase (SR/SPR), 6-pyruvoyl-tetrahydropterin synthase (PTPS/PTS)), and two genes that play roles in cofactor regeneration pathway (i.e., dihydropteridine reductase (DHPR/QDPR) and pterin-4α-carbinolamine dehydratase (PCD/PCBD1)). The subsequent systemic hyperphenylalaninemia and monoamine neurotransmitter deficiency lead to neurological consequences. The high rate of consanguineous marriages in Iran substantially increases the incidence of BH4 deficiency.",P00533,Pterin,['Genes'],['Pterin'],[],[],['Genes'],['Pterin'],,135398660,"The document discusses the effects of tetrahydrobiopterin (BH4) on various proteins involved in its biosynthesis and metabolism. BH4 is essential for the proper functioning of several enzymes, including phenylalanine hydroxylase (PAH), tyrosine hydroxylase, and tryptophan hydroxylase. The study identifies mutations in genes related to BH4 biosynthesis, such as QDPR, PTS, and PCBD1, and their impact on protein function. The targeted sentences indicate that treatment with BH4 resulted in significant reductions in blood phenylalanine (Phe) concentrations and increased dietary Phe tolerance in responsive PKU patients. This suggests that BH4 upregulates the activity of PAH by stabilizing its activated form, leading to reduced Phe levels in the blood. The context of the health-care scenario is the treatment of hyperphenylalaninemia (HPA) and phenylketonuria (PKU). The type of experiment conducted in the study is 'In Clinical', as it involves human participants. The experimental weight assigned to the extracted relation is 5.",Tetrahydrobiopterin (BH4),Phenylalanine hydroxylase (PAH),"Treatment with BH4 resulted in significant reductions in blood phenylalanine (Phe) concentrations and increased dietary Phe tolerance in responsive PKU patients. BH4 stabilizes the activated form of PAH, leading to reduced Phe levels in the blood.",['Treatment with BH4 resulted in significant (at least 30%) and sustained reductions in Phe blood concentrations and increased dietary Phe tolerance in responsive PKU patients.'],Upregulation,Treatment of hyperphenylalaninemia (HPA) and phenylketonuria (PKU),['In Clinical'],5
PMC10900626,Dynamic changes of rumen microbiota and serum metabolome revealed increases in meat quality and growth performances of sheep fed bio-fermented rice straw.,"Providing high-quality roughage is crucial for improvement of ruminant production because it is an essential component of their feed. Our previous study showed that feeding bio-fermented rice straw (BF) improved the feed intake and weight gain of sheep. However, it remains unclear why feeding BF to sheep increased their feed intake and weight gain. Therefore, the purposes of this research were to investigate how the rumen microbiota and serum metabolome are dynamically changing after feeding BF, as well as how their changes influence the feed intake, digestibility, nutrient transport, meat quality and growth performances of sheep. Twelve growing Hu sheep were allocated into 3 groups: alfalfa hay fed group (AH: positive control), rice straw fed group (RS: negative control) and BF fed group (BF: treatment). Samples of rumen content, blood, rumen epithelium, muscle, feed offered and refusals were collected for the subsequent analysis.",P20248,PCA,['Cyclin A'],['PCA'],[],[],['Cyclin A'],['PCA'],,135403803,"The document discusses the effects of feeding bio-fermented rice straw (BF) on various parameters in sheep, including the expression of certain genes. The drug in question, bio-fermented rice straw, is shown to have an effect on the expression of the protein Cyclin A2. Specifically, the document states that feeding BF up-regulates the expression of Cyclin A2 in the rumen epithelium of sheep. This is evident from the targeted sentence which mentions the up-regulation of Cyclin A2 gene expression in the BF group compared to the RS group. The context of this relation is within the scope of improving feed digestion, growth rate, and meat quality in sheep. The type of experiment conducted is 'In Vivo', as it involves live sheep. Based on the type of experiment, the experimental weight assigned to this relation is 3.",Bio-fermented rice straw,Cyclin A2,Feeding bio-fermented rice straw up-regulates the expression of Cyclin A2 in the rumen epithelium of sheep.,"['Up-regulation of genes related to cell proliferation (CDK-4, CyclinA2, CyclinE1) and down-regulation of genes related to cell apoptosis (caspase-8, Bad) observed in BF group is supported by the report, where feeding high-grain diet could promote the development of rumen epithelium, which is achieved by enhancing the cell proliferation and inhibiting the cell apoptosis of rumen epithelium.']",Upregulation,"Improving feed digestion, growth rate, and meat quality in sheep.",['In Vivo'],3
PMC10923034,"Treatment patterns and clinical outcomes of chidamide combined with endocrine therapy in hormone receptor-positive, HER2-negative metastatic breast cancer: A real-world multicenter study.","Chidamide is a selective histone deacetylase inhibitor approved for patients with hormone receptor (HoR)-positive and HER2-negative metastatic breast cancer (MBC). We aimed to investigate the efficacy, safety, and treatment patterns of chidamide and identify clinicopathological factors that predict the efficacy of chidamide in real-world scenarios.",P00533,XA,"['Epidermal growth factor receptor', 'ERBB', 'epidermal growth factor receptor']",['XA'],[],[],"['Epidermal growth factor receptor', 'ERBB', 'epidermal growth factor receptor']",['XA'],,135403800,"The document discusses the effects of chidamide, a selective histone deacetylase inhibitor, on hormone receptor-positive, HER2-negative metastatic breast cancer. Chidamide is known to induce cell cycle arrest and apoptosis in tumor cells through epigenetic regulation. The document specifically mentions that chidamide impacts ER downstream transcription factors and triggers parallel pathways independent of estrogen/ER that promote tumor growth, which is implicated in endocrine resistance. This suggests that chidamide has a downregulating effect on the estrogen receptor (ER) pathway. The study is a real-world multicenter clinical study involving human participants, making it an 'In Clinical' experiment with a high experimental weight of 5.",Chidamide,Estrogen Receptor (ER),"Chidamide impacts ER downstream transcription factors and triggers parallel pathways independent of estrogen/ER that promote tumor growth, which is implicated in endocrine resistance.","['Chidamide (also known as tucidinostat) is an oral type, selective histone deacetylase (HDAC) inhibitor, which acts through epigenetic regulations to induce cell cycle arrest and apoptosis in tumor cells. Epigenetic reprogramming impacts ER downstream transcription factors, triggers parallel pathways independent of estrogen/ER that promote tumor growth, and is implicated with endocrine resistance.']",Downregulation,"Hormone receptor-positive, HER2-negative metastatic breast cancer",['In Clinical'],5
PMC10959701,"Laminin 511-E8, an autoantigen in IgG4-related cholangitis, contributes to cholangiocyte protection.","IgG4-related cholangitis (IRC) is the hepatobiliary manifestation of IgG4-related disease. Anti-laminin 511-E8 autoantibodies have been identified in its pancreatic manifestation. Laminin 511-E8 promotes endothelial barrier function, lymphocyte recruitment, and cholangiocyte differentiation. Here, we investigate anti-laminin 511-E8 autoantibody presence in IRC, and mechanisms via which laminin 511 may contribute to cholangiocyte protection.",P11047,PCA,"['LAMC1', 'Laminin', 'gamma 1']",['PCA'],['Laminin'],[],"['LAMC1', 'Laminin', 'gamma 1']",['PCA'],,135403803,"The document discusses the role of Laminin 511-E8 in protecting cholangiocytes, particularly in the context of IgG4-related cholangitis (IRC). The study investigates the effects of recombinant Laminin 511-E8 on cholangiocytes, including its impact on gene expression, barrier function, and apoptosis. The targeted sentences indicate that Laminin 511-E8 treatment leads to differential expression of genes involved in secretion, barrier function, and inflammation, and it decreases toxic bile acid permeation and apoptosis in cholangiocytes. This suggests that Laminin 511-E8 has a protective effect on cholangiocytes by enhancing barrier function and reducing apoptosis. The context is IgG4-related cholangitis, and the experiments conducted are In Vitro, as they involve cell cultures and biochemical assays.",Laminin 511-E8,Laminin subunit gamma-1,"Laminin 511-E8 enhances cholangiocellular barrier function and protects cholangiocytes against T lymphocyte-induced barrier dysfunction, toxic bile acid permeation, and bile acid-induced apoptosis.","['Recombinant laminin 511-E8 led to differential expression of genes involved in secretion, barrier function, and inflammation.', 'Laminin 511-E8 treatment decreased toxic bile acid permeation and dose-dependently alleviated GCDC-induced apoptosis.', 'Laminin 511-E8 treatment reduced transepithelial permeability and prevented T lymphocyte-induced barrier dysfunction.']",Upregulation,IgG4-related cholangitis,['In Vitro'],2
PMC10997670,Proteomic analysis of DEN and CCl,"Hepatocellular carcinoma (HCC) seriously threatens human health, mostly developed from liver fibrosis or cirrhosis. Since diethylnitrosamine (DEN) and carbon tetrachloride (CCl",Q15796,PCA,"['Smad2', 'Mothers against decapentaplegic homolog 2', 'SMAD2']",['PCA'],[],[],"['Smad2', 'Mothers against decapentaplegic homolog 2', 'SMAD2']",['PCA'],,135403803,"The document discusses the proteomic analysis of a DEN and CCl4-induced hepatocellular carcinoma (HCC) mouse model. The study identifies differentially expressed proteins (DEPs) in tumor tissues compared to normal liver tissues. Among the DEPs, SMAD2 is highlighted as a potential prognostic protein. The document mentions that SMAD2 is significantly highly expressed in tumor tissues of DEN and CCl4-induced HCC mice. This indicates that the drug combination of DEN and CCl4 leads to the upregulation of SMAD2 in the HCC mouse model. The context of the health-care scenario is hepatocellular carcinoma (HCC), and the type of experiment conducted is 'In Vivo' as it involves a mouse model. Based on the type of experiment, the experimental weight assigned to this relation is 3.",Diethylnitrosamine (DEN) and Carbon tetrachloride (CCl4),SMAD2,The drug combination of DEN and CCl4 leads to the upregulation of SMAD2 in the hepatocellular carcinoma (HCC) mouse model.,"['Finally, seven proteins from the above 30 proteins were screened for differential expression in non-tumor and tumor tissues of HCC clinical samples by |log2 (fold change) |≥\u20091 and the BH-adjusted P value\u2009<\u20090.05, Mothers against decapentaplegic homolog 2 (SMAD2), tyrosine-protein phosphatase non-receptor type 1 (PTPN1), Proliferating cell nuclear antigen (PCNA), monofunctional C1-tetrahydrofolate synthase, mitochondrial (MTHFD1L), Lysophospholipid acyltransferase 7(MBOAT7), Fatty acid-binding protein 5 (FABP5) and Agrin (AGRN) (Supplementary Fig. 6 ). These seven proteins were significantly highly expressed in tumor tissues of DEN and CCl 4 -induced HCC mice (Supplementary Fig. 6 A–G).']",Upregulation,Hepatocellular carcinoma (HCC),['In Vivo'],3
PMC10998944,Apoptosis Induction by New Coumarin Derivatives in a Mice Model of Breast Cancer.,"In the last decades, numerous studies have focused on the search for new agents to suppress the growth of cancer cells. In this study, we investigated the effect of two novel synthetic coumarin derivatives, namely",P00533,XA,"['P53', 'p53', 'COX-2', 'EGFR', 'Genes']",['XA'],['COX-2'],[],"['P53', 'p53', 'COX-2', 'EGFR', 'Genes']",['XA'],,135403800,"The document discusses the effects of two novel synthetic coumarin derivatives on the induction of apoptosis in breast cancer in a mouse model. The study involved treating BALB/c mice with these coumarin compounds and analyzing the expression levels of several apoptotic markers, including BCL-2, caspase-9, COX-2, and c-Myc, using qRT-PCR. The results showed that the coumarin compounds significantly altered the expression levels of these proteins, suggesting their potential role in inducing apoptosis in breast cancer cells. The targeted sentences from the document that contain the extracted relations are: 'The qRT-PCR presented that both coumarin compounds could significantly alter the expression levels of BCL-2, caspase-9, COX-2, and c-Myc.' and 'The expression levels of the essential apoptotic genes, including caspase-9, BCL-2, c-Myc, and COX-2, were significantly altered in the treated groups.' The interaction type is classified as 'Downregulation' for BCL-2, c-Myc, and COX-2, and 'Upregulation' for caspase-9. The context of the health-care scenario is breast cancer treatment. The type of experiment conducted in the study is 'In Vivo', as it involved treating mice with the coumarin compounds and analyzing the effects on tumor growth and protein expression. The experimental weight assigned to the extracted relation is 3, based on the 'In Vivo' study type.","2-amino-4-(4-(2-hydroxyethoxy)-3-methoxyphenyl)-5-oxo-4H,5H-pyrano[3,2-c]coumarin-3-carbonitrile",BCL-2,"The coumarin compound significantly decreased the expression level of BCL-2, suggesting its potential role in inducing apoptosis in breast cancer cells.","['The qRT-PCR presented that both coumarin compounds could significantly alter the expression levels of BCL-2, caspase-9, COX-2, and c-Myc.', 'The expression levels of the essential apoptotic genes, including caspase-9, BCL-2, c-Myc, and COX-2, were significantly altered in the treated groups.']",Downregulation,Breast cancer treatment,['In Vivo'],3
PMC11001995,Dermal injury drives a skin to gut axis that disrupts the intestinal microbiome and intestinal immune homeostasis in mice.,"The composition of the microbial community in the intestine may influence the functions of distant organs such as the brain, lung, and skin. These microbes can promote disease or have beneficial functions, leading to the hypothesis that microbes in the gut explain the co-occurrence of intestinal and skin diseases. Here, we show that the reverse can occur, and that skin directly alters the gut microbiome. Disruption of the dermis by skin wounding or the digestion of dermal hyaluronan results in increased expression in the colon of the host defense genes Reg3 and Muc2, and skin wounding changes the composition and behavior of intestinal bacteria. Enhanced expression Reg3 and Muc2 is induced in vitro by exposure to hyaluronan released by these skin interventions. The change in the colon microbiome after skin wounding is functionally important as these bacteria penetrate the intestinal epithelium and enhance colitis from dextran sodium sulfate (DSS) as seen by the ability to rescue skin associated DSS colitis with oral antibiotics, in germ-free mice, and fecal microbiome transplantation to unwounded mice from mice with skin wounds. These observations provide direct evidence of a skin-gut axis by demonstrating that damage to the skin disrupts homeostasis in intestinal host defense and alters the gut microbiome.",Q16539,PCA,['RK'],['PCA'],[],[],['RK'],['PCA'],,135403803,The document discusses the effects of skin wounding and the expression of hyaluronidase-1 (HYAL1) on the gut microbiome and intestinal immune homeostasis in mice. The study shows that skin wounding or the expression of HYAL1 in the skin leads to increased expression of the host defense genes Reg3 and Muc2 in the colon. This is evidenced by single-cell RNA sequencing and spatial RNA sequencing data. The study also demonstrates that hyaluronan fragments released from the skin can directly induce the expression of these genes in colon epithelial cells. The context of the study is the investigation of the skin-gut axis and its implications for diseases such as inflammatory bowel disease (IBD). The experiments conducted include in vivo studies on mice and in vitro studies on colon epithelial cells.,Hyaluronan fragments,Reg3,Hyaluronan fragments released from the skin induce the expression of Reg3 in colon epithelial cells.,"['Disruption of the dermis by skin wounding or the digestion of dermal hyaluronan results in increased expression in the colon of the host defense genes Reg3 and Muc2.', 'Enhanced expression Reg3 and Muc2 is induced in vitro by exposure to hyaluronan released by these skin interventions.', 'Hyaluronan fragments induce expression of Muc2 and Reg3 in colon epithelial cells.']",Upregulation,The study investigates the skin-gut axis and its implications for diseases such as inflammatory bowel disease (IBD).,"['In Vitro', 'In Vivo']",3
PMC11021867,Multivariate modular metabolic engineering and medium optimization for vitamin B,Vitamin B,P00533,XA,['Genes'],"['Yeast powder', 'XA']",[],[],['Genes'],"['Yeast powder', 'XA']",,135403800,"The document discusses the use of yeast powder in the fermentation medium to enhance vitamin B12 production in Escherichia coli. Yeast powder is identified as the drug, and its effect on the protein is inferred from the context of the study. The study mentions that the inclusion of yeast powder increased the vitamin B12 titer and improved the strain's tolerance to IPTG. This suggests that yeast powder has a positive effect on the metabolic pathways involved in vitamin B12 biosynthesis, which likely includes the upregulation of proteins involved in this pathway. The targeted sentences from the document that contain the extracted relation are identified. The interaction type is classified as 'Upregulation' based on the positive effect of yeast powder on vitamin B12 production. The context of the health-care scenario is the industrial production of vitamin B12 using microbial fermentation. The type of experiment conducted in the study is 'In Vivo' as it involves the use of living Escherichia coli cells in fermentation processes. The experimental weight is assigned a value of 3 based on the type of experiment.",Yeast powder,Vitamin B12 biosynthetic pathway proteins,"Yeast powder increased the vitamin B12 titer and improved the strain's tolerance to IPTG, suggesting an upregulation of proteins involved in the vitamin B12 biosynthetic pathway.","['The inclusion of yeast powder to the fermentation medium increased the vitamin B12 titer to 1.52 mg/L.', ""This enhancement was attributed to the effect of yeast powder on elevating the oxygen transfer rate and augmenting the strain's isopropyl-β-d-1-thiogalactopyranoside (IPTG) tolerance.""]",Upregulation,Industrial production of vitamin B12 using microbial fermentation,['In Vivo'],3
PMC11036016,"Design, synthesis, biological and computational screening of novel pyridine-based thiadiazole derivatives as prospective anti-inflammatory agents.","In this study, a novel series of pyridine-based thiadiazole derivatives (",P35354,XA,"['Cyclooxygenase-2', 'COX-2']",['XA'],['COX-2'],[],"['Cyclooxygenase-2', 'COX-2']",['XA'],,135403800,"The document discusses the synthesis and evaluation of novel pyridine-based thiadiazole derivatives (NTD1-NTD5) as potential anti-inflammatory agents. Among these, NTD2 and NTD3 were highlighted for their significant binding affinities to the COX-2 protein, as demonstrated by in silico docking studies. The in vivo studies further supported the anti-inflammatory potential of these compounds, particularly NTD3, which showed potent inhibitory activity against COX-2. The targeted sentences from the document provide clear evidence of the interaction between the drug (NTD3) and the protein (COX-2), indicating a downregulation effect. The context of the health-care scenario is the treatment of inflammation, and the experiments conducted include both in silico and in vivo studies. Based on the type of experiments, an experimental weight of 3 is assigned to the in vivo study and 1 to the in silico study.",NTD3,Cyclooxygenase-2 (COX-2),"NTD3 exhibited potent inhibitory activity against COX-2, demonstrating strong and sustained interactions, including stable hydrogen bond formations.","['Notably, NTD3, which featured benzoic acid substitution, emerged as the most potent anti-inflammatory agent among the screened compounds.', 'The computational analysis demonstrated that NTD2, and NTD3, exhibited substantial binding affinity, with the lowest binding energies (−8.5 and −8.4, kcal/mol) compared to diclofenac (−8.4 kcal/mol).', 'Molecular dynamics simulations were conducted, extending over 100 ns, to examine the dynamic interactions between the ligands and the target protein.', ""The results solidified NTD3's position as a leading candidate, showing potent inhibitory activity through strong and sustained interactions, including stable hydrogen bond formations."", ""This was further confirmed by RMSD values of 2-2.5 Å and 2-3Ǻ, reinforcing NTD3's potential as a useful anti-inflammatory agent.""]",Downregulation,Treatment of inflammation,"['In Silico', 'In Vivo']",3
PMC11048093,Postnatal Growth and Development of the Rumen: Integrating Physiological and Molecular Insights.,"The rumen plays an essential role in the physiology and production of agriculturally important ruminants such as cattle. Functions of the rumen include fermentation, absorption, metabolism, and protection. Cattle are, however, not born with a functional rumen, and the rumen undergoes considerable changes in size, histology, physiology, and transcriptome from birth to adulthood. In this review, we discuss these changes in detail, the factors that affect these changes, and the potential molecular and cellular mechanisms that mediate these changes. The introduction of solid feed to the rumen is essential for rumen growth and functional development in post-weaning calves. Increasing evidence suggests that solid feed stimulates rumen growth and functional development through butyric acid and other volatile fatty acids (VFAs) produced by microbial fermentation of feed in the rumen and that VFAs stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I) or through direct actions on energy production, chromatin modification, and gene expression. Given the role of the rumen in ruminant physiology and performance, it is important to further study the cellular, molecular, genomic, and epigenomic mechanisms that control rumen growth and development in postnatal ruminants. A better understanding of these mechanisms could lead to the development of novel strategies to enhance the growth and development of the rumen and thereby the productivity and health of cattle and other agriculturally important ruminants.",P05019,PCA,"['Insulin-like growth factor I', 'IGF-I', 'IGF', 'IGF1']",['PCA'],[],[],"['Insulin-like growth factor I', 'IGF-I', 'IGF', 'IGF1']",['PCA'],,135403803,"The document discusses the role of volatile fatty acids (VFAs) in the development of the rumen in cattle, particularly focusing on butyric acid. It mentions that VFAs, including butyric acid, stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I). The targeted sentences indicate that butyric acid increases the concentration and/or action of IGF-I, which in turn promotes rumen epithelial cell proliferation and metabolism. This suggests an upregulation of IGF-I by butyric acid. The context is the postnatal development of the rumen in cattle, and the type of experiment is 'In Vivo' as it involves animal studies. The experimental weight is 3.",Butyric acid,Insulin-like growth factor I (IGF-I),"Butyric acid increases the concentration and/or action of IGF-I, promoting rumen epithelial cell proliferation and metabolism.","['Increasing evidence suggests that solid feed stimulates rumen growth and functional development through butyric acid and other volatile fatty acids (VFAs) produced by microbial fermentation of feed in the rumen and that VFAs stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I).', 'Butyric acid and other VFAs stimulate rumen growth and functional development through both direct and indirect mechanisms. In direct mechanisms, butyric acid and other VFAs stimulate cell proliferation and metabolism in rumen epithelial cells by altering the expression of genes critical for these processes. In indirect mechanisms, butyric acid and other VFAs stimulate cell proliferation, and metabolism by increasing the concentration and/or action of circulating insulin-like growth factor-I (IGF-I), insulin, and perhaps other hormones and growth factors on the rumen.']",Upregulation,Postnatal development of the rumen in cattle,['In Vivo'],3
