PMC,PMCtitle,PMCabstract,Query_Protein,Query_Drug,ProteinNames,DrugNames,FuzzyMatchProtein,FuzzyMatchDrug,ExactMatchProtein,ExactMatchDrug,DrugMatch,CID,chain_of_thought_reasoning,drug,protein,effect,targeted_sentences,interaction_type,context,expt_type,expt_weight
PMC10767420,Genotypic variants of the tetrahydrobiopterin (BH4) biosynthesis genes in patients with hyperphenylalaninemia from different regions of Iran.,"Hyperphenylalaninemia (HPA) is a metabolic disorder classified into phenylalanine-4-hydroxylase (PAH) and non-PAH deficiency. The latter is produced by mutations in genes involved in the tetrahydrobiopterin (BH4) biosynthesis pathway and DNAJC12 pathogenetic variants. The BH4 metabolism, including de novo biosynthesis involved genes (i.e., guanosine 5'-triphosphate cyclohydrolase I (GTPCH/GCH1), sepiapterin reductase (SR/SPR), 6-pyruvoyl-tetrahydropterin synthase (PTPS/PTS)), and two genes that play roles in cofactor regeneration pathway (i.e., dihydropteridine reductase (DHPR/QDPR) and pterin-4α-carbinolamine dehydratase (PCD/PCBD1)). The subsequent systemic hyperphenylalaninemia and monoamine neurotransmitter deficiency lead to neurological consequences. The high rate of consanguineous marriages in Iran substantially increases the incidence of BH4 deficiency.",P00533,Pterin,['Genes'],['Pterin'],[],[],['Genes'],['Pterin'],,135398660,"The document discusses the effects of tetrahydrobiopterin (BH4) on the biosynthesis and metabolism of various proteins involved in the BH4 pathway. Specifically, it mentions that BH4 is an essential cofactor for several enzymes, including phenylalanine hydroxylase (PAH), tyrosine hydroxylase, tryptophan hydroxylase, alkylglycerol monooxygenase, and nitric oxide synthase. The document highlights that BH4 deficiency leads to increased blood phenylalanine levels and cognitive and motor disturbances due to reduced synthesis of dopamine and serotonin. Additionally, it states that treatment with BH4 results in significant and sustained reductions in blood phenylalanine concentrations and increased dietary phenylalanine tolerance in responsive phenylketonuria (PKU) patients. This indicates that BH4 upregulates the activity of PAH by stabilizing its activated form in response to increased phenylalanine concentration.",Tetrahydrobiopterin (BH4),Phenylalanine Hydroxylase (PAH),"BH4 stabilizes the activated form of PAH in response to increased phenylalanine concentration, leading to significant and sustained reductions in blood phenylalanine levels and increased dietary phenylalanine tolerance in responsive PKU patients.","['In response to increased Phe concentration in the blood, the structure of PAH changes to its activated form stabilized by BH4.', 'Treatment with BH4 resulted in significant (at least 30%) and sustained reductions in Phe blood concentrations and increased dietary Phe tolerance in responsive PKU patients.']",Upregulation,The study focuses on the effects of BH4 on patients with hyperphenylalaninemia (HPA) and phenylketonuria (PKU).,['In Clinical'],5
PMC10900626,Dynamic changes of rumen microbiota and serum metabolome revealed increases in meat quality and growth performances of sheep fed bio-fermented rice straw.,"Providing high-quality roughage is crucial for improvement of ruminant production because it is an essential component of their feed. Our previous study showed that feeding bio-fermented rice straw (BF) improved the feed intake and weight gain of sheep. However, it remains unclear why feeding BF to sheep increased their feed intake and weight gain. Therefore, the purposes of this research were to investigate how the rumen microbiota and serum metabolome are dynamically changing after feeding BF, as well as how their changes influence the feed intake, digestibility, nutrient transport, meat quality and growth performances of sheep. Twelve growing Hu sheep were allocated into 3 groups: alfalfa hay fed group (AH: positive control), rice straw fed group (RS: negative control) and BF fed group (BF: treatment). Samples of rumen content, blood, rumen epithelium, muscle, feed offered and refusals were collected for the subsequent analysis.",P20248,PCA,['Cyclin A'],['PCA'],[],[],['Cyclin A'],['PCA'],,135403803,"The document discusses the effects of bio-fermented rice straw (BF) on various parameters in sheep, including the expression of specific genes. Among the genes studied, Cyclin A2 is mentioned in the context of cell proliferation. The document states that feeding BF to sheep resulted in the up-regulation of Cyclin A2 gene expression. This indicates that BF has a positive effect on the expression of Cyclin A2, which is involved in cell cycle regulation and proliferation. The targeted sentence explicitly mentions the up-regulation of Cyclin A2 in sheep fed BF, providing a clear link between the drug (BF) and the protein (Cyclin A2).",Bio-fermented rice straw (BF),Cyclin A2,"Feeding bio-fermented rice straw (BF) to sheep resulted in the up-regulation of Cyclin A2 gene expression, indicating enhanced cell proliferation.","['The results of real-time PCR showed that up-regulation (P < 0.05) of tight junction protein-related genes such as claudin-1 and claudin-4, cell proliferation related genes such as CDK4, Cyclin A2 and Cyclin E1, and VFA transporter-related gene such as MCT1, and down-regulation (P < 0.05) of apoptosis related genes such as caspase-8 and Bad, and pH regulation-related gene such as NHE3 and Na+/K+ ATPase were observed in BF group compared with RS group.']",Upregulation,"The study investigates the effects of feeding bio-fermented rice straw (BF) on the rumen microbiota, serum metabolome, and various growth and health parameters in sheep.",['In Vivo'],3
PMC10923034,"Treatment patterns and clinical outcomes of chidamide combined with endocrine therapy in hormone receptor-positive, HER2-negative metastatic breast cancer: A real-world multicenter study.","Chidamide is a selective histone deacetylase inhibitor approved for patients with hormone receptor (HoR)-positive and HER2-negative metastatic breast cancer (MBC). We aimed to investigate the efficacy, safety, and treatment patterns of chidamide and identify clinicopathological factors that predict the efficacy of chidamide in real-world scenarios.",P00533,XA,"['Epidermal growth factor receptor', 'ERBB', 'epidermal growth factor receptor']",['XA'],[],[],"['Epidermal growth factor receptor', 'ERBB', 'epidermal growth factor receptor']",['XA'],,135403800,"The document discusses the effects of chidamide, a selective histone deacetylase inhibitor, on hormone receptor-positive, HER2-negative metastatic breast cancer. Chidamide acts through epigenetic regulations to induce cell cycle arrest and apoptosis in tumor cells. It impacts ER downstream transcription factors, triggers parallel pathways independent of estrogen/ER that promote tumor growth, and is implicated with endocrine resistance. The document mentions that chidamide enhances antibody-dependent cell-mediated cytotoxicity and cytotoxic T cell-mediated anti-tumor immunity, and reverses epithelial-mesenchymal phenotype transformation (EMT) of tumor cells. Specifically, it is noted that chidamide modulates the activity of the estrogen receptor (ER), which is a key protein in this context. The targeted sentences were identified based on their explicit mention of chidamide's effect on ER.",Chidamide,Estrogen Receptor (ER),"Chidamide modulates the activity of the estrogen receptor (ER) through epigenetic regulations, impacting ER downstream transcription factors, triggering parallel pathways independent of estrogen/ER that promote tumor growth, and reversing epithelial-mesenchymal phenotype transformation (EMT) of tumor cells.","['Chidamide acts through epigenetic regulations to induce cell cycle arrest and apoptosis in tumor cells.', 'Epigenetic reprogramming impacts ER downstream transcription factors, triggers parallel pathways independent of estrogen/ER that promote tumor growth, and is implicated with endocrine resistance.', 'Chidamide has also been reported to enhance antibody-dependent cell-mediated cytotoxicity and cytotoxic T cell-mediated anti-tumor immunity, and reverse epithelial-mesenchymal phenotype transformation (EMT) of tumor cells.']",Neutral,"Hormone receptor-positive, HER2-negative metastatic breast cancer",['In Clinical'],5
PMC10959701,"Laminin 511-E8, an autoantigen in IgG4-related cholangitis, contributes to cholangiocyte protection.","IgG4-related cholangitis (IRC) is the hepatobiliary manifestation of IgG4-related disease. Anti-laminin 511-E8 autoantibodies have been identified in its pancreatic manifestation. Laminin 511-E8 promotes endothelial barrier function, lymphocyte recruitment, and cholangiocyte differentiation. Here, we investigate anti-laminin 511-E8 autoantibody presence in IRC, and mechanisms via which laminin 511 may contribute to cholangiocyte protection.",P11047,PCA,"['LAMC1', 'Laminin', 'gamma 1']",['PCA'],['Laminin'],[],"['LAMC1', 'Laminin', 'gamma 1']",['PCA'],,135403803,"The document discusses the role of Laminin 511-E8 in cholangiocyte protection, particularly in the context of IgG4-related cholangitis (IRC). The study investigates the effects of recombinant Laminin 511-E8 on human H69 cholangiocytes. The key findings include that Laminin 511-E8 treatment leads to differential expression of genes involved in secretion, barrier function, and inflammation. Specifically, Laminin 511-E8 treatment decreased toxic bile acid permeation and dose-dependently alleviated GCDC-induced apoptosis. Additionally, Laminin 511-E8 treatment reduced transepithelial permeability and prevented T lymphocyte-induced barrier dysfunction. These findings indicate that Laminin 511-E8 has a protective effect on cholangiocytes by enhancing barrier function and reducing apoptosis induced by toxic bile acids.",Laminin 511-E8,Laminin subunit gamma-1,"Laminin 511-E8 treatment decreased toxic bile acid permeation, alleviated GCDC-induced apoptosis, reduced transepithelial permeability, and prevented T lymphocyte-induced barrier dysfunction in cholangiocytes.","['Recombinant laminin 511-E8 led to differential expression of genes involved in secretion, barrier function, and inflammation.', 'Laminin 511-E8 treatment decreased toxic bile acid permeation and dose-dependently alleviated GCDC-induced apoptosis.', 'Laminin 511-E8 treatment reduced transepithelial permeability and prevented T lymphocyte-induced barrier dysfunction.']",Upregulation,IgG4-related cholangitis (IRC),['In Vitro'],2
PMC10997670,Proteomic analysis of DEN and CCl,"Hepatocellular carcinoma (HCC) seriously threatens human health, mostly developed from liver fibrosis or cirrhosis. Since diethylnitrosamine (DEN) and carbon tetrachloride (CCl",Q15796,PCA,"['Smad2', 'Mothers against decapentaplegic homolog 2', 'SMAD2']",['PCA'],[],[],"['Smad2', 'Mothers against decapentaplegic homolog 2', 'SMAD2']",['PCA'],,135403803,"The document provides a detailed analysis of the DEN and CCl4-induced hepatocellular carcinoma (HCC) mouse model. The key proteins involved in the study include SMAD2, PTPN1, PCNA, MTHFD1L, MBOAT7, FABP5, and AGRN. The document discusses the upregulation of these proteins in the context of the DEN and CCl4-induced HCC mouse model. Specifically, it mentions that the expression of these proteins is significantly higher in tumor tissues compared to normal liver tissues. This indicates that the combination of DEN and CCl4 leads to the upregulation of these proteins, which are associated with poor prognosis in HCC. The targeted sentences were identified based on their explicit mention of the drug's effect on the protein.",Diethylnitrosamine and Carbon Tetrachloride,SMAD2,"The expression of SMAD2 is significantly higher in tumor tissues compared to normal liver tissues, indicating upregulation.","['Finally, combining clinical information from the HCC cohort, we screened seven proteins with prognostic significance, SMAD2, PTPN1, PCNA, MTHFD1L, MBOAT7, FABP5, and AGRN.', 'These seven proteins were significantly highly expressed in tumor tissues of DEN and CCl4-induced HCC mice.']",Upregulation,Hepatocellular carcinoma (HCC) research using DEN and CCl4-induced mouse model,['In Vivo'],3
PMC10998944,Apoptosis Induction by New Coumarin Derivatives in a Mice Model of Breast Cancer.,"In the last decades, numerous studies have focused on the search for new agents to suppress the growth of cancer cells. In this study, we investigated the effect of two novel synthetic coumarin derivatives, namely",P00533,XA,"['P53', 'p53', 'COX-2', 'EGFR', 'Genes']",['XA'],['COX-2'],[],"['P53', 'p53', 'COX-2', 'EGFR', 'Genes']",['XA'],,135403800,"The document discusses the effects of two novel synthetic coumarin derivatives on breast cancer in a mouse model. The key proteins involved in the study are BCL-2, caspase-9, COX-2, and c-Myc. The document details how these coumarin compounds significantly alter the expression levels of these proteins. Specifically, the expression of caspase-9 is increased, while the expression of BCL-2, c-Myc, and COX-2 is decreased in the treated groups compared to the control group. This indicates that the coumarin derivatives have a regulatory effect on these apoptosis-related proteins, promoting apoptosis in breast cancer cells.","2-amino-4-(4-(2-hydroxyethoxy)-3-methoxyphenyl)-5-oxo-4H,5H-pyrano[3,2-c]coumarin-3-carbonitrile",caspase-9,"The expression of caspase-9 was increased by the coumarin derivative, promoting apoptosis in breast cancer cells.","['The expression levels of caspase-9 were increased in all treated groups compared to the cancer control group, particularly in the A2 and B2 (P <0.05) groups.', 'The expression levels of the essential apoptotic genes, including caspase-9, BCL-2, c-Myc, and COX-2, were significantly altered in the treated groups.']",Upregulation,Breast cancer therapy in a mouse model,['In Vivo'],3
PMC11001995,Dermal injury drives a skin to gut axis that disrupts the intestinal microbiome and intestinal immune homeostasis in mice.,"The composition of the microbial community in the intestine may influence the functions of distant organs such as the brain, lung, and skin. These microbes can promote disease or have beneficial functions, leading to the hypothesis that microbes in the gut explain the co-occurrence of intestinal and skin diseases. Here, we show that the reverse can occur, and that skin directly alters the gut microbiome. Disruption of the dermis by skin wounding or the digestion of dermal hyaluronan results in increased expression in the colon of the host defense genes Reg3 and Muc2, and skin wounding changes the composition and behavior of intestinal bacteria. Enhanced expression Reg3 and Muc2 is induced in vitro by exposure to hyaluronan released by these skin interventions. The change in the colon microbiome after skin wounding is functionally important as these bacteria penetrate the intestinal epithelium and enhance colitis from dextran sodium sulfate (DSS) as seen by the ability to rescue skin associated DSS colitis with oral antibiotics, in germ-free mice, and fecal microbiome transplantation to unwounded mice from mice with skin wounds. These observations provide direct evidence of a skin-gut axis by demonstrating that damage to the skin disrupts homeostasis in intestinal host defense and alters the gut microbiome.",Q16539,PCA,['RK'],['PCA'],[],[],['RK'],['PCA'],,135403803,"The document discusses the effects of skin wounding and the expression of hyaluronidase-1 (HYAL1) on the gut microbiome and intestinal immune homeostasis in mice. The key proteins involved in the study are Muc2 and Reg3. The document details how skin wounding or the expression of HYAL1 in the skin leads to increased expression of Muc2 and Reg3 in the colon. This is evidenced by single-cell RNA sequencing and spatial RNA sequencing, which show higher levels of these proteins in the intestines of mice with skin wounds or HYAL1 expression. The targeted sentences explicitly mention the increased expression of Muc2 and Reg3 in response to skin interventions, indicating an upregulation of these proteins.",Hyaluronidase-1 (HYAL1),Muc2,Increased expression of Muc2 in the colon in response to skin wounding or expression of HYAL1 in the skin.,"['Disruption of the dermis by skin wounding or the digestion of dermal hyaluronan results in increased expression in the colon of the host defense genes Reg3 and Muc2.', 'Enhanced expression Reg3 and Muc2 is induced in vitro by exposure to hyaluronan released by these skin interventions.', 'Analysis of spatial sequencing data confirmed observations from scRNASeq with Muc2 highest in Cluster 16.', 'Interestingly, even with the substantial inflammatory response induced by DSS in the intestine, K14/HYAL1 mice exhibited the highest expression level of Muc2 in the absence of DSS treatment.']",Upregulation,The study investigates the effects of skin wounding and HYAL1 expression on gut microbiome and intestinal immune homeostasis in mice.,['In Vivo'],3
PMC11021867,Multivariate modular metabolic engineering and medium optimization for vitamin B,Vitamin B,P00533,XA,['Genes'],"['Yeast powder', 'XA']",[],[],['Genes'],"['Yeast powder', 'XA']",,135403800,"The document primarily discusses the metabolic engineering of Escherichia coli for the production of vitamin B12. The key drug involved in the study is yeast powder, which is used as a supplement in the fermentation medium. The document details how the inclusion of yeast powder in the fermentation medium increases the vitamin B12 titer. This enhancement is attributed to the effect of yeast powder on elevating the oxygen transfer rate and augmenting the strain's isopropyl-β-d-1-thiogalactopyranoside (IPTG) tolerance. The document does not explicitly mention a specific protein that yeast powder affects, but it implies that the overall metabolic activity and tolerance of the engineered E. coli strain are improved. Therefore, the interaction type is classified as 'Upregulation' due to the positive effect on metabolic activity and vitamin B12 production.",Yeast powder,Metabolic enzymes in Escherichia coli,"The inclusion of yeast powder in the fermentation medium increases the vitamin B12 titer by elevating the oxygen transfer rate and augmenting the strain's isopropyl-β-d-1-thiogalactopyranoside (IPTG) tolerance, thereby enhancing the overall metabolic activity of the engineered E. coli strain.","[""The inclusion of yeast powder to the fermentation medium increased the vitamin B12 titer to 1.52 mg/L. This enhancement was attributed to the effect of yeast powder on elevating the oxygen transfer rate and augmenting the strain's isopropyl-β-d-1-thiogalactopyranoside (IPTG) tolerance.""]",Upregulation,Metabolic engineering of Escherichia coli for vitamin B12 production,['In Vivo'],3
PMC11036016,"Design, synthesis, biological and computational screening of novel pyridine-based thiadiazole derivatives as prospective anti-inflammatory agents.","In this study, a novel series of pyridine-based thiadiazole derivatives (",P35354,XA,"['Cyclooxygenase-2', 'COX-2']",['XA'],['COX-2'],[],"['Cyclooxygenase-2', 'COX-2']",['XA'],,135403800,"The document discusses the synthesis and evaluation of novel pyridine-based thiadiazole derivatives (NTD1-NTD5) as potential anti-inflammatory agents. The key protein involved in the study is Cyclooxygenase-2 (COX-2). The document details how these compounds, particularly NTD2 and NTD3, exhibit significant binding affinity to COX-2, with NTD3 showing the most potent anti-inflammatory activity. The in silico docking study and molecular dynamics simulations further support the strong and sustained interactions between NTD3 and COX-2, indicating potent inhibitory activity. This suggests that NTD3 effectively inhibits COX-2, leading to its downregulation. The targeted sentences were identified based on their explicit mention of the drug's effect on the protein.",NTD3,Cyclooxygenase-2,"NTD3 effectively inhibits COX-2, leading to its downregulation.","['Notably, NTD3, which featured benzoic acid substitution, emerged as the most potent anti-inflammatory agent among the screened compounds.', 'The computational analysis demonstrated that NTD2, and NTD3, exhibited substantial binding affinity, with the lowest binding energies (−8.5 and −8.4, kcal/mol) compared to diclofenac (−8.4 kcal/mol).', 'This alignment between in vivo and in silico data supported the robust anti-inflammatory potential of these derivatives.', ""The results solidified NTD3's position as a leading candidate, showing potent inhibitory activity through strong and sustained interactions, including stable hydrogen bond formations."", ""This was further confirmed by RMSD values of 2-2.5 Å and 2-3Ǻ, reinforcing NTD3's potential as a useful anti-inflammatory agent.""]",Downregulation,,"['In Silico', 'In Vivo']",3
PMC11048093,Postnatal Growth and Development of the Rumen: Integrating Physiological and Molecular Insights.,"The rumen plays an essential role in the physiology and production of agriculturally important ruminants such as cattle. Functions of the rumen include fermentation, absorption, metabolism, and protection. Cattle are, however, not born with a functional rumen, and the rumen undergoes considerable changes in size, histology, physiology, and transcriptome from birth to adulthood. In this review, we discuss these changes in detail, the factors that affect these changes, and the potential molecular and cellular mechanisms that mediate these changes. The introduction of solid feed to the rumen is essential for rumen growth and functional development in post-weaning calves. Increasing evidence suggests that solid feed stimulates rumen growth and functional development through butyric acid and other volatile fatty acids (VFAs) produced by microbial fermentation of feed in the rumen and that VFAs stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I) or through direct actions on energy production, chromatin modification, and gene expression. Given the role of the rumen in ruminant physiology and performance, it is important to further study the cellular, molecular, genomic, and epigenomic mechanisms that control rumen growth and development in postnatal ruminants. A better understanding of these mechanisms could lead to the development of novel strategies to enhance the growth and development of the rumen and thereby the productivity and health of cattle and other agriculturally important ruminants.",P05019,PCA,"['Insulin-like growth factor I', 'IGF-I', 'IGF', 'IGF1']",['PCA'],[],[],"['Insulin-like growth factor I', 'IGF-I', 'IGF', 'IGF1']",['PCA'],,135403803,"The document discusses the role of volatile fatty acids (VFAs), particularly butyric acid, in the development of the rumen in post-weaning calves. It mentions that VFAs stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I). Specifically, butyric acid is highlighted as a key VFA that promotes the growth of rumen papillae and the overall size of the rumen epithelium. The document also notes that the stimulatory effect of butyric acid on rumen development is associated with increased plasma concentrations of IGF-I. This indicates that butyric acid upregulates the expression or activity of IGF-I, contributing to the growth and development of the rumen.",Butyric acid,Insulin-like growth factor I (IGF-I),"Butyric acid promotes the growth of rumen papillae and the overall size of the rumen epithelium, which is associated with increased plasma concentrations of IGF-I.","['Increasing evidence suggests that solid feed stimulates rumen growth and functional development through butyric acid and other volatile fatty acids (VFAs) produced by microbial fermentation of feed in the rumen and that VFAs stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I).', 'The promoting effect of butyric acid and propionic acid on rumen epithelial growth was associated with improved insulin sensitivity.', 'Calves weaned earlier (meaning transitioning to solid feed earlier) showed significantly more growth of the rumen and had higher concentrations of plasma insulin-like growth factor I (IGF-I) than calves weaned later.']",Upregulation,Post-weaning development of the rumen in calves,['In Vivo'],3
